epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,756.123,3.00875,4.71672,3.85196,0.00225,0.87273,0.01255,0.00435,2.01844,6.28768,2.55501,0.000397938,0.000397938,0.000397938
2,939.524,2.83992,3.56099,3.31474,0.07248,0.11818,0.03516,0.01149,2.03662,7.67199,2.53262,0.000793988,0.000793988,0.000793988
3,1120.04,2.60741,3.24338,3.04515,0.28213,0.38182,0.21007,0.08828,1.72633,7.90129,2.23418,0.00118608,0.00118608,0.00118608
4,1297.89,2.34497,2.93182,2.79443,0.18113,0.25455,0.13618,0.06331,1.96873,31.6788,2.35747,0.00157421,0.00157421,0.00157421
5,1476.35,2.14293,2.74887,2.59605,0.22285,0.23636,0.16575,0.0759,1.78041,6.61701,2.2299,0.00195838,0.00195838,0.00195838
6,1655.05,1.9779,2.47965,2.40528,0.59361,0.37273,0.44717,0.28288,1.48228,6.12316,1.85135,0.0019505,0.0019505,0.0019505
7,1835.84,1.79084,2.31416,2.23468,0.63717,0.50909,0.56369,0.32577,1.30219,5.04142,1.70814,0.0019406,0.0019406,0.0019406
8,2011,1.67968,2.13672,2.13218,0.75508,0.51818,0.6123,0.42563,1.16058,1.97821,1.59781,0.0019307,0.0019307,0.0019307
9,2186.46,1.59855,2.02394,2.04775,0.75274,0.60888,0.7135,0.49729,1.07379,2.75309,1.45662,0.0019208,0.0019208,0.0019208
10,2364.42,1.45387,1.81768,1.92116,0.77831,0.68182,0.78208,0.59381,0.98496,1.75296,1.41963,0.0019109,0.0019109,0.0019109
11,2538.02,1.36974,1.69341,1.84935,0.64553,0.69091,0.69859,0.49958,1.0233,9.42395,1.42916,0.001901,0.001901,0.001901
12,2711.95,1.31355,1.59806,1.76294,0.79179,0.69142,0.78274,0.58474,0.94203,2.37186,1.33729,0.0018911,0.0018911,0.0018911
13,2887.91,1.22047,1.47783,1.68423,0.80884,0.73087,0.80591,0.60616,0.81511,5.40179,1.23363,0.0018812,0.0018812,0.0018812
14,3062.08,1.1804,1.43911,1.64629,0.87396,0.81947,0.8667,0.65515,0.79724,1.88711,1.18744,0.0018713,0.0018713,0.0018713
15,3241.46,1.17027,1.42348,1.62759,0.89883,0.77273,0.85079,0.68759,0.75949,4.80122,1.17014,0.0018614,0.0018614,0.0018614
16,3419.65,1.07268,1.30825,1.54011,0.93592,0.75455,0.88021,0.73179,0.73399,1.65903,1.12494,0.0018515,0.0018515,0.0018515
17,3598.74,1.07002,1.31943,1.53394,0.80788,0.84105,0.89003,0.74972,0.71462,1.10136,1.09938,0.0018416,0.0018416,0.0018416
18,3776.64,1.04143,1.20564,1.4869,0.86134,0.84706,0.90578,0.74612,0.68989,1.07045,1.0886,0.0018317,0.0018317,0.0018317
19,3954.89,1.01819,1.19681,1.4882,0.84599,0.8,0.86978,0.71654,0.74151,3.31801,1.11082,0.0018218,0.0018218,0.0018218
20,4132.53,0.99521,1.1662,1.46581,0.90643,0.79091,0.90815,0.75362,0.60075,1.4681,0.99532,0.0018119,0.0018119,0.0018119
21,4310.39,0.95431,1.09832,1.41653,0.90105,0.73636,0.84644,0.6809,0.82416,2.49917,1.21681,0.001802,0.001802,0.001802
22,4487.35,0.93779,1.0979,1.41143,0.89256,0.81818,0.91099,0.75257,0.69978,1.09957,1.06837,0.0017921,0.0017921,0.0017921
23,4664.27,0.88667,1.00663,1.35883,0.9361,0.79913,0.90617,0.78194,0.62059,1.15784,0.98867,0.0017822,0.0017822,0.0017822
24,4843.19,0.88923,0.98327,1.3659,0.90605,0.81818,0.92394,0.78306,0.60976,1.16889,0.9661,0.0017723,0.0017723,0.0017723
25,5018.11,0.86059,0.95414,1.32617,0.95132,0.79091,0.89231,0.76765,0.60415,1.56409,0.98548,0.0017624,0.0017624,0.0017624
26,5195.11,0.85289,0.95321,1.32549,0.96968,0.87273,0.93914,0.78847,0.61244,1.10353,0.99202,0.0017525,0.0017525,0.0017525
27,5373.41,0.82379,0.9323,1.30502,0.92651,0.82727,0.90239,0.77842,0.57306,1.06634,0.96473,0.0017426,0.0017426,0.0017426
28,5553.13,0.79761,0.90855,1.26887,0.89189,0.82499,0.91049,0.79536,0.54164,2.52078,0.93036,0.0017327,0.0017327,0.0017327
29,5733.2,0.79629,0.91386,1.2768,0.90738,0.82727,0.86711,0.7487,0.60424,0.97751,0.98687,0.0017228,0.0017228,0.0017228
30,5910.39,0.79316,0.93881,1.28301,0.94604,0.85455,0.932,0.81553,0.56549,0.78044,0.95322,0.0017129,0.0017129,0.0017129
31,6087.52,0.79496,0.88514,1.28122,0.98938,0.84731,0.94572,0.81433,0.52974,0.79969,0.91993,0.001703,0.001703,0.001703
32,6263.49,0.78373,0.84511,1.26743,0.96997,0.88101,0.94108,0.84569,0.494,0.64517,0.90597,0.0016931,0.0016931,0.0016931
33,6441.91,0.76404,0.83422,1.2505,0.96686,0.87273,0.94175,0.83282,0.50536,0.79241,0.88629,0.0016832,0.0016832,0.0016832
34,6619.23,0.78228,0.84709,1.26247,0.96987,0.87794,0.95023,0.84166,0.51945,0.80778,0.91334,0.0016733,0.0016733,0.0016733
35,6797.94,0.76302,0.82455,1.26388,0.95031,0.87273,0.95394,0.82763,0.51974,0.78206,0.90615,0.0016634,0.0016634,0.0016634
36,6975.61,0.73401,0.83306,1.23325,0.96705,0.89091,0.94831,0.84274,0.46674,0.80141,0.88303,0.0016535,0.0016535,0.0016535
37,7153.09,0.74306,0.82637,1.23539,0.91829,0.9195,0.95144,0.84256,0.45986,0.77617,0.86533,0.0016436,0.0016436,0.0016436
38,7329.96,0.70818,0.7705,1.20804,0.96039,0.9,0.94918,0.84239,0.48924,0.77686,0.87636,0.0016337,0.0016337,0.0016337
39,7505.36,0.73509,0.7921,1.22837,0.96537,0.87273,0.93812,0.85555,0.42498,0.62244,0.83369,0.0016238,0.0016238,0.0016238
40,7683.29,0.69798,0.74677,1.21664,0.93027,0.89091,0.95885,0.88331,0.40456,0.62966,0.83395,0.0016139,0.0016139,0.0016139
41,7863.15,0.72209,0.76057,1.22457,0.97072,0.90408,0.96437,0.8539,0.44339,1.40263,0.85593,0.001604,0.001604,0.001604
42,8045.27,0.66071,0.69818,1.18268,0.95098,0.88183,0.95796,0.8465,0.45501,1.00295,0.85447,0.0015941,0.0015941,0.0015941
43,8220.84,0.69957,0.72264,1.1918,0.92831,0.94172,0.97075,0.85926,0.43136,0.7892,0.84169,0.0015842,0.0015842,0.0015842
