epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,61.0,45.0,10000.0,163.93443,50.0,50.0,0.003939366,9.90784e-05,,0.00991,2.7678175,
0.0,20000.0,93.0,95.0,20000.0,215.05376,0.0,25.0,-0.05747538,9.80544e-05,,0.00982,2.695374,
0.0,30000.0,136.0,145.0,30000.0,220.58824,0.0,16.666666,-0.014147517,9.70304e-05,,0.00973,2.669959,
0.0,40000.0,165.0,195.0,40000.0,242.42424,25.0,18.75,-0.020447165,9.60064e-05,,0.00964,2.6556563,
0.0,50000.0,194.0,240.0,50000.0,257.73196,100.0,35.0,0.0028954898,9.50848e-05,,0.00955,2.6725688,
0.0,60000.0,237.0,290.0,60000.0,253.16455,25.0,33.333332,-0.0392512,9.40608e-05,,0.00946,2.7529929,
0.0,70000.0,266.0,340.0,70000.0,263.1579,25.0,32.142857,-0.031668186,9.30368e-05,,0.00937,2.7702248,
0.0,80000.0,309.0,390.0,80000.0,258.8997,0.0,28.125,-0.029381748,9.20128e-05,,0.00928,2.820963,
0.0,90000.0,339.0,435.0,90000.0,265.48672,25.0,27.777779,-0.025994672,9.10912e-05,,0.00919,2.812773,
0.0,100000.0,368.0,485.0,100000.0,271.73914,75.0,32.5,-0.039120596,9.00672e-05,,0.0091,2.8072,
0.0,110000.0,411.0,535.0,110000.0,267.6399,25.0,31.818182,-0.032167718,8.90432e-05,,0.00901,2.8130064,
0.0,120000.0,442.0,585.0,120000.0,271.49323,150.0,41.666668,-0.020579398,8.80192e-05,,0.00892,2.8197427,
0.0,130000.0,481.0,630.0,130000.0,270.27026,25.0,40.384617,-0.027462615,8.70976e-05,,0.00883,2.83036,
0.0,140000.0,512.0,680.0,140000.0,273.4375,50.0,41.07143,-0.01587532,8.60736e-05,,0.00874,2.8587906,
0.0,150000.0,541.0,730.0,150000.0,277.2643,125.0,46.666668,-0.021346081,8.50496e-05,,0.00865,2.8579066,
0.0,160000.0,583.0,780.0,160000.0,274.44254,0.0,43.75,-0.012180878,8.40256e-05,,0.00856,2.8696096,
0.0,170000.0,611.0,830.0,170000.0,278.2324,75.0,45.588234,-0.025266321,8.30016e-05,,0.00847,2.8752117,
0.0,180000.0,653.0,875.0,180000.0,275.65085,100.0,48.61111,-0.021705592,8.208e-05,,0.00838,2.8749447,
0.0,190000.0,684.0,925.0,190000.0,277.77777,75.0,50.0,-0.030685872,8.1056e-05,,0.00829,2.875619,
0.0,200000.0,713.0,975.0,200000.0,280.5049,50.0,50.0,-0.019280061,8.0032e-05,,0.0082,2.8669105,
0.0,210000.0,755.0,1025.0,210000.0,278.1457,75.0,51.190475,-0.022266114,7.9008e-05,,0.00811,2.8706589,
0.0,220000.0,786.0,1070.0,220000.0,279.89822,100.0,53.409092,-0.021400739,7.80864e-05,,0.00802,2.8750691,
0.0,230000.0,828.0,1120.0,230000.0,277.77777,0.0,51.086956,-0.017232085,7.70624e-05,,0.00793,2.8741531,
0.0,240000.0,857.0,1170.0,240000.0,280.04666,0.0,48.958332,-0.033150595,7.60384e-05,,0.00784,2.8750432,
0.0,250000.0,888.0,1220.0,250000.0,281.53152,25.0,48.0,-0.023243183,7.50144e-05,,0.00775,2.8744986,
0.0,260000.0,927.0,1265.0,260000.0,280.47464,50.0,48.076923,-0.019894974,7.40928e-05,,0.00766,2.874145,
0.0,270000.0,956.0,1315.0,270000.0,282.4268,25.0,47.22222,-0.022162382,7.30688e-05,,0.00757,2.8734095,
0.0,280000.0,998.0,1365.0,280000.0,280.56113,75.0,48.214287,-0.028651917,7.20448e-05,,0.00748,2.8737364,
0.0,290000.0,1026.0,1415.0,290000.0,282.65106,50.0,48.275864,-0.019794503,7.10208e-05,,0.00739,2.8653026,
0.0,300000.0,1055.0,1460.0,300000.0,284.3602,50.0,48.333332,-0.021287253,7.00992e-05,,0.0073,2.8645227,
0.0,310000.0,1100.0,1510.0,310000.0,281.81818,25.0,47.580647,-0.024120508,6.90752e-05,,0.00721,2.8594456,
0.0,320000.0,1129.0,1560.0,320000.0,283.43668,50.0,47.65625,-0.017399365,6.80512e-05,,0.00712,2.8661022,
0.0,330000.0,1168.0,1610.0,330000.0,282.53424,75.0,48.484848,-0.017359849,6.70272e-05,,0.00703,2.8653312,
0.0,340000.0,1197.0,1660.0,340000.0,284.04346,125.0,50.735294,-0.03654173,6.60032e-05,,0.00694,2.8615966,
0.0,350000.0,1227.0,1705.0,350000.0,285.24857,100.0,52.142857,-0.013205146,6.50816e-05,,0.00685,2.8455749,
0.0,360000.0,1266.0,1755.0,360000.0,284.3602,50.0,52.083332,-0.022249684,6.40576e-05,,0.00676,2.8429174,
0.0,370000.0,1298.0,1805.0,370000.0,285.05392,50.0,52.027027,-0.0042815716,6.30336e-05,,0.00667,2.8434234,
0.0,380000.0,1340.0,1855.0,380000.0,283.5821,50.0,51.973682,-0.011457369,6.20096e-05,,0.00658,2.8353999,
0.0,390000.0,1368.0,1900.0,390000.0,285.0877,75.0,52.564102,-0.009082659,6.1088e-05,,0.00649,2.825121,
0.0,400000.0,1399.0,1950.0,400000.0,285.91852,75.0,53.125,-0.004172828,6.0064e-05,,0.0064,2.8497167,
