epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,31.0,310.0,10000.0,322.58066,75.0,75.0,-0.066320196,9.9008e-05,,0.00991,2.8812554,
0.0,20000.0,48.0,625.0,20000.0,416.66666,0.0,37.5,-0.030922122,9.8e-05,,0.00982,2.8859315,
0.0,30000.0,66.0,935.0,30000.0,454.54544,150.0,75.0,-0.019006217,9.7008e-05,,0.00973,2.8852704,
0.0,40000.0,84.0,1250.0,40000.0,476.1905,25.0,62.5,-0.024864405,9.6e-05,,0.00964,2.887092,
0.0,50000.0,100.0,1560.0,50000.0,500.0,25.0,55.0,-0.034358677,9.5008e-05,,0.00955,2.8884242,
0.0,60000.0,121.0,1875.0,60000.0,495.86777,25.0,50.0,-0.050666742,9.4e-05,,0.00946,2.886507,
0.0,70000.0,136.0,2185.0,70000.0,514.7059,125.0,60.714287,-0.026927825,9.3008e-05,,0.00937,2.8888402,
0.0,80000.0,158.0,2500.0,80000.0,506.3291,100.0,65.625,-0.030505491,9.2e-05,,0.00928,2.8897684,
0.0,90000.0,173.0,2810.0,90000.0,520.2312,50.0,63.88889,-0.044569816,9.1008e-05,,0.00919,2.8898053,
0.0,100000.0,190.0,3125.0,100000.0,526.3158,25.0,60.0,-0.037022755,9e-05,,0.0091,2.8899224,
0.0,110000.0,207.0,3435.0,110000.0,531.40094,25.0,56.81818,-0.038733847,8.9008e-05,,0.00901,2.8901021,
0.0,120000.0,224.0,3750.0,120000.0,535.7143,250.0,72.916664,-0.03343058,8.8e-05,,0.00892,2.8875535,
0.0,130000.0,242.0,4060.0,130000.0,537.19006,25.0,69.23077,-0.034317605,8.7008e-05,,0.00883,2.889929,
0.0,140000.0,259.0,4375.0,140000.0,540.5405,75.0,69.64286,-0.033956103,8.6e-05,,0.00874,2.8900883,
0.0,150000.0,275.0,4685.0,150000.0,545.4545,75.0,70.0,-0.041681223,8.5008e-05,,0.00865,2.8900445,
0.0,160000.0,296.0,5000.0,160000.0,540.5405,0.0,65.625,-0.037090153,8.4e-05,,0.00856,2.8901067,
0.0,170000.0,311.0,5310.0,170000.0,546.6238,25.0,63.235294,-0.03718668,8.3008e-05,,0.00847,2.8901556,
0.0,180000.0,331.0,5625.0,180000.0,543.80664,25.0,61.11111,-0.032615494,8.2e-05,,0.00838,2.8902364,
0.0,190000.0,346.0,5935.0,190000.0,549.13293,50.0,60.526318,-0.028244074,8.1008e-05,,0.00829,2.8901155,
0.0,200000.0,364.0,6250.0,200000.0,549.45056,25.0,58.75,0.10850177,8e-05,,0.0082,2.8901289,
0.0,210000.0,380.0,6560.0,210000.0,552.6316,0.0,55.95238,-0.020132277,7.9008e-05,,0.00811,2.890059,
0.0,220000.0,398.0,6875.0,220000.0,552.7638,50.0,55.68182,-0.045680504,7.8e-05,,0.00802,2.8901553,
0.0,230000.0,416.0,7185.0,230000.0,552.88464,75.0,56.52174,-0.03935203,7.7008e-05,,0.00793,2.8901951,
0.0,240000.0,434.0,7500.0,240000.0,552.99536,0.0,54.166668,-0.06857888,7.6e-05,,0.00784,2.8899992,
0.0,250000.0,449.0,7810.0,250000.0,556.79285,50.0,54.0,-0.03204692,7.5008e-05,,0.00775,2.8900545,
0.0,260000.0,469.0,8125.0,260000.0,554.371,25.0,52.884617,-0.03502499,7.4e-05,,0.00766,2.8900795,
0.0,270000.0,484.0,8435.0,270000.0,557.85126,125.0,55.555557,-0.030645598,7.3008e-05,,0.00757,2.889891,
0.0,280000.0,505.0,8750.0,280000.0,554.45544,0.0,53.57143,-0.03424081,7.2e-05,,0.00748,2.8899596,
0.0,290000.0,520.0,9060.0,290000.0,557.6923,75.0,54.310345,-0.030807285,7.1008e-05,,0.00739,2.8900635,
0.0,300000.0,538.0,9375.0,300000.0,557.6208,50.0,54.166668,-0.033527374,7e-05,,0.0073,2.889901,
0.0,310000.0,555.0,9685.0,310000.0,558.55853,100.0,55.64516,-0.02956426,6.9008e-05,,0.00721,2.890073,
0.0,320000.0,572.0,10000.0,320000.0,559.44055,100.0,57.03125,-0.030836083,6.8e-05,,0.00712,2.890232,
0.0,330000.0,590.0,10310.0,330000.0,559.322,50.0,56.81818,-0.027063807,6.7008e-05,,0.00703,2.890268,
0.0,340000.0,607.0,10625.0,340000.0,560.1318,0.0,55.14706,-0.02853039,6.6e-05,,0.00694,2.89025,
0.0,350000.0,622.0,10935.0,350000.0,562.701,0.0,53.57143,0.29026031,6.5008e-05,,0.00685,2.8902416,
0.0,360000.0,643.0,11250.0,360000.0,559.8756,25.0,52.77778,-0.03101489,6.4e-05,,0.00676,2.8902135,
0.0,370000.0,657.0,11560.0,370000.0,563.1659,75.0,53.37838,-0.024257233,6.3008e-05,,0.00667,2.8901966,
0.0,380000.0,677.0,11875.0,380000.0,561.29987,25.0,52.63158,-0.018668486,6.2e-05,,0.00658,2.8902054,
0.0,390000.0,692.0,12185.0,390000.0,563.5838,50.0,52.564102,-0.02768117,6.1008e-05,,0.00649,2.8901563,
0.0,400000.0,709.0,12500.0,400000.0,564.17487,0.0,51.25,-0.020337746,6e-05,,0.0064,2.8901393,
0.0,410000.0,727.0,12810.0,410000.0,563.9615,125.0,53.048782,-0.02855506,5.9008e-05,,0.00631,2.8902218,
0.0,420000.0,744.0,13125.0,420000.0,564.5161,50.0,52.97619,-0.02970813,5.8e-05,,0.00622,2.8902981,
0.0,430000.0,761.0,13435.0,430000.0,565.046,25.0,52.32558,-0.02503035,5.7008e-05,,0.00613,2.8903177,
