epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.01,,
0.0,10000.0,54.0,720.0,10000.0,185.18518,50.0,50.0,-0.031774666,9.90784e-05,,0.00991,2.7810879,
0.0,20000.0,90.0,1520.0,20000.0,222.22223,75.0,62.5,-0.031391755,9.80544e-05,,0.00982,2.782874,
0.0,30000.0,319.0,2320.0,30000.0,94.043884,25.0,50.0,-0.030733906,9.70304e-05,,0.00973,2.5876346,
0.0,40000.0,347.0,3120.0,40000.0,115.27377,0.0,37.5,-0.035876557,9.60064e-05,,0.00964,2.660676,
0.0,50000.0,371.0,3840.0,50000.0,134.77089,50.0,40.0,-0.02889157,9.50848e-05,,0.00955,2.7949095,
0.0,60000.0,397.0,4640.0,60000.0,151.1335,25.0,37.5,-0.03557697,9.40608e-05,,0.00946,2.6889393,
0.0,70000.0,421.0,5440.0,70000.0,166.27078,25.0,35.714287,-0.028111538,9.30368e-05,,0.00937,2.5148392,
0.0,80000.0,447.0,6240.0,80000.0,178.97092,25.0,34.375,-0.024232652,9.20128e-05,,0.00928,2.5317297,
0.0,90000.0,470.0,6960.0,90000.0,191.48936,50.0,36.11111,-0.025041074,9.10912e-05,,0.00919,2.5536904,
0.0,100000.0,494.0,7760.0,100000.0,202.42915,25.0,35.0,-0.026981823,9.00672e-05,,0.0091,2.4845054,
0.0,110000.0,520.0,8560.0,110000.0,211.53847,0.0,31.818182,-0.032966837,8.90432e-05,,0.00901,2.616388,
0.0,120000.0,544.0,9360.0,120000.0,220.58824,125.0,39.583332,-0.023100177,8.80192e-05,,0.00892,2.7225199,
0.0,130000.0,570.0,10080.0,130000.0,228.07018,0.0,36.53846,-0.029779634,8.70976e-05,,0.00883,2.56539,
0.0,140000.0,595.0,10880.0,140000.0,235.29411,0.0,33.92857,-0.026368765,8.60736e-05,,0.00874,2.5278068,
0.0,150000.0,621.0,11680.0,150000.0,241.5459,125.0,40.0,-0.02907197,8.50496e-05,,0.00865,2.7422452,
0.0,160000.0,648.0,12480.0,160000.0,246.91357,25.0,39.0625,-0.02503268,8.40256e-05,,0.00856,2.6724095,
0.0,170000.0,672.0,13280.0,170000.0,252.9762,75.0,41.17647,-0.027098762,8.30016e-05,,0.00847,2.6588101,
0.0,180000.0,698.0,14000.0,180000.0,257.87967,125.0,45.833332,-0.016429141,8.208e-05,,0.00838,2.5786378,
0.0,190000.0,722.0,14800.0,190000.0,263.1579,25.0,44.736843,-0.022715647,8.1056e-05,,0.00829,2.274672,
0.0,200000.0,745.0,15600.0,200000.0,268.4564,25.0,43.75,-0.020909652,8.0032e-05,,0.0082,2.3953457,
0.0,210000.0,772.0,16400.0,210000.0,272.02072,0.0,41.666668,-0.017964598,7.9008e-05,,0.00811,2.2668576,
0.0,220000.0,796.0,17120.0,220000.0,276.3819,50.0,42.045456,-0.024911664,7.80864e-05,,0.00802,2.3991652,
0.0,230000.0,823.0,17920.0,230000.0,279.46536,50.0,42.391304,-0.022027567,7.70624e-05,,0.00793,2.2309234,
0.0,240000.0,847.0,18720.0,240000.0,283.353,50.0,42.708332,-0.017570462,7.60384e-05,,0.00784,1.8837612,
0.0,250000.0,872.0,19520.0,250000.0,286.69724,25.0,42.0,-0.015561898,7.50144e-05,,0.00775,2.041168,
0.0,260000.0,897.0,20240.0,260000.0,289.85507,25.0,41.346153,-0.014600018,7.40928e-05,,0.00766,1.9575973,
0.0,270000.0,922.0,21040.0,270000.0,292.84164,0.0,39.814816,-0.016685704,7.30688e-05,,0.00757,2.0029817,
0.0,280000.0,950.0,21840.0,280000.0,294.73685,100.0,41.964287,-0.01982007,7.20448e-05,,0.00748,2.2430766,
0.0,290000.0,975.0,22640.0,290000.0,297.43588,0.0,40.517242,-0.021736834,7.10208e-05,,0.00739,2.416489,
0.0,300000.0,998.0,23360.0,300000.0,300.6012,0.0,39.166668,-0.019819904,7.00992e-05,,0.0073,2.1117702,
0.0,310000.0,1026.0,24160.0,310000.0,302.14426,100.0,41.129032,-0.014949918,6.90752e-05,,0.00721,2.498293,
0.0,320000.0,1051.0,24960.0,320000.0,304.47192,50.0,41.40625,-0.019539015,6.80512e-05,,0.00712,2.6757407,
0.0,330000.0,1077.0,25760.0,330000.0,306.40668,25.0,40.909092,-0.020771723,6.70272e-05,,0.00703,2.3983853,
0.0,340000.0,1101.0,26560.0,340000.0,308.81018,25.0,40.441177,-0.018371737,6.60032e-05,,0.00694,2.3505616,
0.0,350000.0,1124.0,27280.0,350000.0,311.3879,75.0,41.42857,-0.018672196,6.50816e-05,,0.00685,2.3731275,
0.0,360000.0,1152.0,28080.0,360000.0,312.5,75.0,42.36111,-0.01585943,6.40576e-05,,0.00676,2.1006598,
0.0,370000.0,1177.0,28880.0,370000.0,314.35855,100.0,43.91892,-0.018083552,6.30336e-05,,0.00667,2.5447185,
0.0,380000.0,1204.0,29680.0,380000.0,315.61462,50.0,44.07895,-0.022635251,6.20096e-05,,0.00658,2.605229,
0.0,390000.0,1227.0,30400.0,390000.0,317.84842,75.0,44.871796,-0.015464562,6.1088e-05,,0.00649,2.6956487,
0.0,400000.0,1251.0,31200.0,400000.0,319.7442,75.0,45.625,-0.014331465,6.0064e-05,,0.0064,2.6891866,
0.0,410000.0,1280.0,32000.0,410000.0,320.3125,25.0,45.121952,-0.014894999,5.904e-05,,0.00631,2.84441,
0.0,420000.0,1305.0,32800.0,420000.0,321.83908,0.0,44.04762,-0.019530848,5.8016e-05,,0.00622,2.6963968,
0.0,430000.0,1330.0,33520.0,430000.0,323.30826,75.0,44.76744,-0.012105247,5.70944e-05,,0.00613,2.7081864,
