epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,1e-04,,0.02,,
0.0,10000.0,34.0,45.0,10000.0,294.11765,25.0,25.0,-0.05684101,9.90784e-05,,0.01981,2.8671308,
0.0,20000.0,45.0,95.0,20000.0,444.44446,0.0,12.5,-0.0567471,9.80544e-05,,0.01962,2.887445,
0.0,30000.0,59.0,145.0,30000.0,508.47458,0.0,8.333333,-0.05612342,9.70304e-05,,0.01943,2.887612,
0.0,40000.0,70.0,195.0,40000.0,571.4286,75.0,25.0,-0.055402424,9.60064e-05,,0.01924,2.871521,
0.0,50000.0,81.0,240.0,50000.0,617.28394,25.0,25.0,-0.05475217,9.50848e-05,,0.01905,2.8716779,
0.0,60000.0,95.0,290.0,60000.0,631.5789,25.0,25.0,-0.053137608,9.40608e-05,,0.01886,2.8791752,
0.0,70000.0,106.0,340.0,70000.0,660.3774,25.0,25.0,-0.052282877,9.30368e-05,,0.01867,2.8787193,
0.0,80000.0,120.0,390.0,80000.0,666.6667,75.0,31.25,-0.053314075,9.20128e-05,,0.01848,2.8845572,
0.0,90000.0,131.0,435.0,90000.0,687.0229,75.0,36.11111,-0.052825313,9.10912e-05,,0.01829,2.88545,
0.0,100000.0,142.0,485.0,100000.0,704.22534,75.0,40.0,-0.05220978,9.00672e-05,,0.0181,2.8824606,
0.0,110000.0,156.0,535.0,110000.0,705.12823,25.0,38.636364,-0.05125965,8.90432e-05,,0.01791,2.88224,
0.0,120000.0,166.0,585.0,120000.0,722.89154,25.0,37.5,-0.05168234,8.80192e-05,,0.01772,2.881646,
0.0,130000.0,179.0,630.0,130000.0,726.25696,0.0,34.615383,-0.050592415,8.70976e-05,,0.01753,2.882973,
0.0,140000.0,190.0,680.0,140000.0,736.8421,75.0,37.5,-0.050705608,8.60736e-05,,0.01734,2.8836834,
0.0,150000.0,200.0,730.0,150000.0,750.0,25.0,36.666668,-0.04946185,8.50496e-05,,0.01715,2.8824635,
0.0,160000.0,214.0,780.0,160000.0,747.6636,0.0,34.375,-0.048931446,8.40256e-05,,0.01696,2.8842556,
0.0,170000.0,225.0,830.0,170000.0,755.55554,50.0,35.294117,-0.048417818,8.30016e-05,,0.01677,2.8870902,
0.0,180000.0,237.0,875.0,180000.0,759.49365,0.0,33.333332,-0.047937963,8.208e-05,,0.01658,2.8886378,
0.0,190000.0,248.0,925.0,190000.0,766.129,0.0,31.578947,-0.047387853,8.1056e-05,,0.01639,2.8893638,
0.0,200000.0,259.0,975.0,200000.0,772.20074,50.0,32.5,-0.046521686,8.0032e-05,,0.0162,2.889402,
0.0,210000.0,271.0,1025.0,210000.0,774.9078,75.0,34.52381,-0.04625575,7.9008e-05,,0.01601,2.888877,
0.0,220000.0,282.0,1070.0,220000.0,780.14185,0.0,32.954544,-0.04592191,7.80864e-05,,0.01582,2.8887858,
0.0,230000.0,295.0,1120.0,230000.0,779.661,50.0,33.695652,-0.04517702,7.70624e-05,,0.01563,2.8881855,
0.0,240000.0,306.0,1170.0,240000.0,784.3137,50.0,34.375,-0.044599473,7.60384e-05,,0.01544,2.8871741,
0.0,250000.0,318.0,1220.0,250000.0,786.1635,75.0,36.0,-0.044021204,7.50144e-05,,0.01525,2.8860898,
0.0,260000.0,330.0,1265.0,260000.0,787.8788,75.0,37.5,-0.043508988,7.40928e-05,,0.01506,2.8856354,
0.0,270000.0,341.0,1315.0,270000.0,791.7889,25.0,37.037037,-0.042950876,7.30688e-05,,0.01487,2.8858583,
0.0,280000.0,354.0,1365.0,280000.0,790.96045,100.0,39.285713,-0.042001408,7.20448e-05,,0.01468,2.8857207,
0.0,290000.0,365.0,1415.0,290000.0,794.52057,25.0,38.793102,-0.04183116,7.10208e-05,,0.01449,2.8860812,
0.0,300000.0,376.0,1460.0,300000.0,797.8723,50.0,39.166668,-0.04180496,7.00992e-05,,0.0143,2.8871908,
0.0,310000.0,390.0,1510.0,310000.0,794.87177,25.0,38.70968,-0.040791772,6.90752e-05,,0.01411,2.8880277,
