epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00025,1.0,,,
0.0,10000.0,34.0,54.0,10000.0,294.11765,75.0,75.0,0.00011124771,0.00025,0.982,,,
0.0,20000.0,44.0,114.0,20000.0,454.54544,50.0,62.5,0.0011028018,0.00025,0.964,,,
0.0,30000.0,57.0,174.0,30000.0,526.3158,75.0,66.666664,8.731433e-05,0.00025,0.946,,,
0.0,40000.0,67.0,234.0,40000.0,597.01495,50.0,62.5,4.283761e-05,0.00025,0.928,,,
0.0,50000.0,76.0,288.0,50000.0,657.8947,0.0,50.0,3.3020915e-05,0.00025,0.91,,,
0.0,60000.0,88.0,348.0,60000.0,681.8182,25.0,45.833332,3.1311312e-05,0.00025,0.892,,,
0.0,70000.0,99.0,408.0,70000.0,707.0707,75.0,50.0,0.0019987926,0.00025,0.874,,,
0.0,80000.0,113.0,468.0,80000.0,707.9646,75.0,53.125,0.0010119975,0.00025,0.856,,,
0.0,90000.0,123.0,522.0,90000.0,731.70734,50.0,52.77778,3.131866e-05,0.00025,0.838,,,
0.0,100000.0,134.0,582.0,100000.0,746.2687,50.0,52.5,2.6577336e-05,0.00025,0.82,,,
0.0,110000.0,150.0,642.0,110000.0,733.3333,0.0,47.727272,1.6465949e-05,0.00025,0.802,,,
0.0,120000.0,162.0,702.0,120000.0,740.7407,100.0,52.083332,2.751373e-05,0.00025,0.784,,,
0.0,130000.0,178.0,756.0,130000.0,730.3371,50.0,51.923077,2.1954107e-05,0.00025,0.766,,,
0.0,140000.0,189.0,816.0,140000.0,740.7407,0.0,48.214287,0.0010078582,0.00025,0.748,,,
0.0,150000.0,202.0,876.0,150000.0,742.5743,0.0,45.0,4.7028883e-05,0.00025,0.73,,,
0.0,160000.0,217.0,936.0,160000.0,737.3272,50.0,45.3125,3.551876e-05,0.00025,0.712,,,
0.0,170000.0,229.0,996.0,170000.0,742.3581,25.0,44.117645,4.1993244e-05,0.00025,0.694,,,
0.0,180000.0,246.0,1050.0,180000.0,731.70734,0.0,41.666668,1.34403745e-05,0.00025,0.676,,,
0.0,190000.0,259.0,1110.0,190000.0,733.59076,50.0,42.105263,0.0010141094,0.00025,0.658,,,
0.0,200000.0,271.0,1170.0,200000.0,738.0074,25.0,41.25,2.0192145e-05,0.00025,0.64,,,
0.0,210000.0,288.0,1230.0,210000.0,729.1667,0.0,39.285713,0.0019556587,0.00025,0.622,,,
0.0,220000.0,302.0,1284.0,220000.0,728.4768,75.0,40.909092,0.0009962764,0.00025,0.604,,,
0.0,230000.0,318.0,1344.0,230000.0,723.27045,50.0,41.304348,0.0009956966,0.00025,0.586,,,
